date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint
2016-01-11 17:00,60 ,30 ,20 ,48 ,19 ,45 ,20 ,45 ,19 ,46 ,17 ,55 ,7 ,84 ,17 ,42 ,18 ,49 ,17 ,46 ,7 ,734 ,92 ,7 ,63 ,5 
2016-01-11 17:10,60 ,30 ,20 ,47 ,19 ,45 ,20 ,45 ,19 ,46 ,17 ,55 ,7 ,84 ,17 ,42 ,18 ,49 ,17 ,46 ,6 ,734 ,92 ,7 ,59 ,5 
2016-01-11 17:20,50 ,30 ,20 ,46 ,19 ,45 ,20 ,45 ,19 ,46 ,17 ,55 ,7 ,83 ,17 ,41 ,18 ,49 ,17 ,46 ,6 ,734 ,92 ,6 ,55 ,5 
2016-01-11 17:30,50 ,40 ,20 ,46 ,19 ,45 ,20 ,45 ,19 ,46 ,17 ,55 ,6 ,83 ,17 ,41 ,18 ,49 ,17 ,45 ,6 ,734 ,92 ,6 ,52 ,5 
2016-01-11 17:40,60 ,40 ,20 ,46 ,19 ,45 ,20 ,45 ,19 ,46 ,17 ,55 ,6 ,85 ,17 ,41 ,18 ,49 ,17 ,45 ,6 ,734 ,92 ,6 ,48 ,5 
2016-01-11 17:50,50 ,40 ,20 ,46 ,19 ,45 ,20 ,45 ,19 ,46 ,17 ,55 ,6 ,86 ,17 ,41 ,18 ,49 ,17 ,45 ,6 ,734 ,92 ,5 ,44 ,5 
2016-01-11 18:00,60 ,50 ,20 ,46 ,19 ,45 ,20 ,45 ,19 ,46 ,17 ,55 ,6 ,86 ,17 ,41 ,18 ,49 ,17 ,45 ,6 ,734 ,92 ,5 ,40 ,5 
2016-01-11 18:10,60 ,50 ,20 ,46 ,19 ,45 ,20 ,45 ,19 ,46 ,17 ,55 ,6 ,86 ,17 ,41 ,18 ,49 ,17 ,45 ,6 ,734 ,92 ,5 ,40 ,5 
2016-01-11 18:20,60 ,40 ,20 ,46 ,19 ,44 ,20 ,45 ,19 ,46 ,17 ,55 ,6 ,87 ,17 ,41 ,18 ,49 ,17 ,45 ,6 ,734 ,92 ,5 ,40 ,5 
2016-01-11 18:30,70 ,40 ,20 ,46 ,19 ,44 ,20 ,45 ,19 ,46 ,17 ,55 ,6 ,88 ,17 ,42 ,18 ,49 ,17 ,45 ,6 ,734 ,92 ,6 ,40 ,5 
2016-01-11 18:40,230 ,70 ,20 ,46 ,19 ,44 ,20 ,45 ,19 ,46 ,17 ,55 ,6 ,88 ,17 ,43 ,18 ,49 ,17 ,45 ,6 ,734 ,91 ,6 ,40 ,5 
2016-01-11 18:50,580 ,60 ,20 ,46 ,19 ,44 ,20 ,45 ,19 ,46 ,17 ,55 ,6 ,88 ,18 ,44 ,18 ,49 ,17 ,45 ,6 ,734 ,91 ,6 ,40 ,5 
2016-01-11 19:00,430 ,50 ,20 ,48 ,20 ,44 ,20 ,45 ,19 ,46 ,17 ,55 ,6 ,89 ,18 ,45 ,18 ,49 ,17 ,45 ,6 ,735 ,91 ,6 ,40 ,5 
2016-01-11 19:10,250 ,40 ,20 ,53 ,20 ,45 ,20 ,45 ,19 ,47 ,17 ,55 ,6 ,88 ,18 ,46 ,18 ,49 ,17 ,45 ,6 ,735 ,91 ,6 ,40 ,5 
2016-01-11 19:20,100 ,10 ,20 ,56 ,20 ,46 ,20 ,48 ,19 ,49 ,17 ,56 ,6 ,88 ,18 ,46 ,18 ,49 ,17 ,45 ,6 ,735 ,90 ,6 ,40 ,4 
2016-01-11 19:30,100 ,10 ,21 ,54 ,20 ,47 ,20 ,48 ,19 ,48 ,17 ,56 ,6 ,88 ,18 ,45 ,18 ,49 ,17 ,45 ,6 ,735 ,90 ,6 ,40 ,4 
2016-01-11 19:40,90 ,10 ,21 ,53 ,20 ,47 ,20 ,49 ,19 ,48 ,17 ,56 ,6 ,88 ,18 ,44 ,18 ,50 ,17 ,45 ,6 ,735 ,89 ,6 ,40 ,4 
2016-01-11 19:50,70 ,30 ,21 ,54 ,20 ,47 ,20 ,48 ,19 ,48 ,17 ,57 ,6 ,87 ,18 ,44 ,18 ,50 ,17 ,45 ,6 ,735 ,89 ,6 ,40 ,4 
2016-01-11 20:00,80 ,30 ,21 ,51 ,20 ,46 ,20 ,48 ,19 ,49 ,17 ,57 ,5 ,87 ,18 ,43 ,19 ,50 ,17 ,45 ,6 ,735 ,88 ,6 ,40 ,4 
2016-01-11 20:10,140 ,40 ,21 ,50 ,20 ,46 ,20 ,48 ,19 ,50 ,18 ,71 ,5 ,87 ,18 ,43 ,19 ,50 ,17 ,45 ,6 ,735 ,88 ,6 ,40 ,4 
2016-01-11 20:20,120 ,20 ,21 ,48 ,20 ,46 ,20 ,47 ,19 ,50 ,18 ,79 ,5 ,88 ,18 ,42 ,19 ,50 ,17 ,45 ,6 ,735 ,88 ,6 ,40 ,4 
2016-01-11 20:30,190 ,40 ,21 ,48 ,20 ,46 ,20 ,47 ,19 ,50 ,18 ,80 ,6 ,87 ,18 ,42 ,19 ,50 ,17 ,45 ,6 ,735 ,88 ,6 ,40 ,4 
2016-01-11 20:40,110 ,40 ,21 ,47 ,20 ,45 ,20 ,47 ,19 ,49 ,18 ,79 ,6 ,87 ,18 ,44 ,19 ,50 ,17 ,45 ,6 ,735 ,87 ,6 ,40 ,4 
